"refinement_rank","paper_id","refined_status","refinement_score","priority","title","publication","year","category","collections","duplicate_group","pdf_path"
"1","P0002","completed_refined","280","145","A Blessing or a Curse? Teletriage Service in Healthcare","Management Science","2025","博弈论/理论模型","Game Theory; Intensive Reading","DUP001","[local PDF path not bundled; paper_id=P0002]"
"2","P0027","completed_refined","280","145","Product Safety and Liability with Deceptive Advertising and Moral Hazard","Marketing Science","2025","博弈论/理论模型","Game Theory; Intensive Reading","DUP002","[local PDF path not bundled; paper_id=P0027]"
"3","P0949","completed_refined","259","127","Search and Competition in Expert Markets","RAND Journal of Economics、","2022","博弈论/理论模型","Game Theory; Intensive Reading","","[local PDF path not bundled; paper_id=P0949]"
"4","P1980","completed_refined","239","125","Information design of online platforms","Management Science","2026","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P1980]"
"5","P0993","completed_refined","238","125","Platform Certification and Seller Disclosure in Online Selling","Manufacturing & Service Operations Management","2025","博弈论/理论模型","Game Theory; Mates","","[local PDF path not bundled; paper_id=P0993]"
"6","P0084","completed_refined","234","123","Beating the Algorithm: Consumer Manipulation, Personalized Pricing, and Big Data Management","Manufacturing & Service Operations Management","2023","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0084]"
"7","P0012","completed_refined","232","122","Quality Certification in Agricultural Supply Chains: Implications from Government Information Provision","Production and Operations Management","2022","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0012]"
"8","P0005","completed_refined","230","125","Distribution Strategy, Capability Investment, and Government Regulation","Production and Operations Management","2025","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0005]"
"9","P0014","completed_refined","230","121","Supplier Encroachment with Multiple Retailers","Production and Operations Management","2021","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0014]"
"10","P0192","completed_refined","230","125","Blessing or Curse? Implications of Data Brokers for Publisher Competition","Information Systems Research","2025","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0192]"
"11","P0262","completed_refined","230","125","On the Profitability of Loyalty","Marketing Science","2025","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0262]"
"12","P0004","completed_refined","228","124","Counterfeit Competition With Strategic Consumers","Production and Operations Management","2024","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0004]"
"13","P0016","completed_refined","228","120","Inducing Consumer Online Reviews Via Disclosure","Production and Operations Management","2020","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0016]"
"14","P0018","completed_refined","228","120","Inducing Supply Chain Transparency through Supplier Encroachment","Production and Operations Management","2020","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0018]"
"15","P0020","completed_refined","228","120","The Acquisition of Quality Information in a Supply Chain with Voluntary vs. Mandatory Disclosure","Production and Operations Management","2020","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0020]"
"16","P0141","completed_refined","228","124","Group Buying Between Competitors: Exogenous and Endogenous Power Structures","Production and Operations Management","2024","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0141]"
"17","P0268","completed_refined","228","115","Green Disposable Packaging and Communication: The Implications of Bring-Your-Own-Container","Manufacturing & Service Operations Management","2025","博弈论/理论模型","Game Theory","DUP008","[local PDF path not bundled; paper_id=P0268]"
"18","P1028","completed_refined","226","123","Improving Access to Rare Disease Treatments: Subsidy, Pricing, and Payment Schemes","Management Science","2023","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P1028]"
"19","P1918","completed_refined","226","130","C2C共享平台供应链定价策略研究：基于差异化销售模式的影响分析","管理科学学报","2026","博弈论/理论模型","Game Theory; Intensive Reading; Mates","","[local PDF path not bundled; paper_id=P1918]"
"20","P0163","completed_refined","225","125","Startup Accelerators, Information Asymmetry, and Corporate Venture Capital Investments","Management Science","2025","实证","Business Administration; CVC Investment Logic; Graduation Thesis; Intensive Reading","DUP006","[local PDF path not bundled; paper_id=P0163]"
"21","P1548","completed_refined","225","130","后发集成企业的创新策略与供应商选择——基于中国手机行业山寨化向品牌化转型的理论探索","管理科学学报","2025","博弈论/理论模型","Game Theory; Intensive Reading","","[local PDF path not bundled; paper_id=P1548]"
"22","P0023","completed_refined","224","118","Retailer Information Sharing with Supplier Encroachment","Production and Operations Management","2018","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0023]"
"23","P0130","completed_refined","224","122","The Strategic Benefit of Request for Proposal/Quotation","Operations Research","2022","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0130]"
"24","P0193","completed_refined","224","122","Customization and Returns","Management Science","2022","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0193]"
"25","P0952","completed_refined","224","122","Product Selling vs. Pay-Per-Use Service: A Strategic Analysis of Competing Business Models","Management Science","2022","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0952]"
"26","P0025","completed_refined","222","117","The Interplay between Information Acquisition and Quality Disclosure","Production and Operations Management","2017","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0025]"
